Date,Cost,Category,Details,Tips,Out,In,Surp,Subtotal
2015/8/10,-28,餐饮,,,,,,
2015/8/10,-120,电子类,dota2 ti5宝瓶,,,,,
2015/8/12,-188,生活用品,插座等,,,,,
2015/8/12,-21.6,餐饮,,,,,,
2015/8/12,-8,电子类,饰品护符,,,,,
2015/8/13,-10,交通,,,,,,
2015/8/13,-16,餐饮,,,,,,
2015/8/13,-60,电子类,小金本24级,,,,,
2015/8/14,-10,餐饮,,,,,,
2015/8/15,-38,餐饮,必胜客外卖,,,,,
2015/8/15,-39.6,娱乐,电影,,,,,
2015/8/15,-45,餐饮,台湾餐厅,难吃,,,,
2015/8/15,-30,餐饮,超市面包等,,,,,
2015/8/16,-80,餐饮,露丝茶餐厅,,,,,
2015/8/16,-18,餐饮,水果,,,,,
2015/8/16,-12.1,餐饮,新希望,,,,,
2015/8/17,-12.5,餐饮,,,,,,
2015/8/18,-21.5,餐饮,,,,,,
2015/8/18,-25,交通,洗车,,,,,
2015/8/19,-699,购物,BOSE soundtrue,,,,,
2015/8/19,-337.4,其他,moleskine A4 + 口袋型,宋柯颖礼物,,,,
2015/8/19,-17,餐饮,,,,,,
2015/8/20,-24,餐饮,,,,,,
2015/8/21,-17,餐饮,,,,,,
2015/8/21,-34,交通,,,,,,
2015/8/22,-25,娱乐,上网,,,,,
2015/8/22,-32,固定支出,理发,,,,,
2015/8/23,-51,餐饮,麦当劳,,,,,
2015/8/24,-6,餐饮,面包水,,,,,
2015/8/25,-9,餐饮,早餐,,,,,
2015/8/25,-82,餐饮,露丝茶餐厅,,,,,
2015/8/25,-33.5,餐饮,糖和面包,德国Cambridge&Thames,,,,
2015/8/26,-16.3,餐饮,,,,,,
2015/8/27,-44,购物,,,,,,
2015/8/28,-6.11,交通,Uber,,,,,
2015/8/28,-30,交通,石羊场,,,,,
2015/8/30,-29,交通,,,,,,
2015/8/30,-39.8,娱乐,电影,烈日灼心,,,,
2015/8/31,-22,餐饮,,,,,,
2015/9/1,-895,购物,墨镜,礼物,-11062.9,5922,-5140.9,
2015/9/1,-99.5,固定支出,话费,,,,,100补助
2015/9/2,-47,餐饮,,,,,,1000退房
2015/9/2,-599,购物,硬盘 京东,西数 2T,,,,3472
2015/9/3,-20,餐饮,,,,,,1350
2015/9/3,-30,交通,,,,,,
2015/9/4,-7,交通,,,,,,
2015/9/4,-15,餐饮,,,,,,
2015/9/5,-40,餐饮,伊藤超市,,,,,
2015/9/5,-136,餐饮,火锅,赵二老火锅 还可以,,,,
2015/9/5,-40,交通,,,,,,
2015/9/6,-20.8,餐饮,,,,,,
2015/9/6,-1000,购物,defy adv3 定金,,,,,
2015/9/7,-25,餐饮,,,,,,
2015/9/9,-22.3,餐饮,,,,,,
2015/9/10,-9.7,交通,专车,别克坏了,,,,
2015/9/10,-18,餐饮,,,,,,
2015/9/11,-23.2,餐饮,,,,,,
2015/9/11,-9.3,交通,专车,,,,,
2015/9/12,-69,餐饮,,,,,,
2015/9/12,-10.5,交通,,拿到车,,,,
2015/9/13,-101,餐饮,,,,,,
2015/9/13,-59.8,娱乐,电影,碟中谍5,,,,
2015/9/14,-21.5,餐饮,,,,,,
2015/9/14,-10,交通,未拿到公司出入证,,,,,
2015/9/15,-10,交通,,,,,,
2015/9/15,-45.6,购物,英雄仿LAMY *2,粉色 绿色,,,,
2015/9/15,-7.7,餐饮,,,,,,
2015/9/16,-10,交通,,,,,,
2015/9/17,-23,交通,洗车13 停车10,,,,,
